0.05,60,4,0.2,2
0.05,75,1,0.2,1.8
0.05,75,1.5,0.2,1.8
0.05,75,2,0.2,2
0.05,75,2.5,0.2,2
0.05,75,3,0.2,2
0.05,75,3.5,0.2,2
0.05,75,4,0.2,2
0.05,90,1,0.2,1.4
0.05,90,1.5,0.2,1.6
0.05,90,2,0.2,1.8
0.05,90,2.5,0.2,1.8
0.05,90,3,0.2,1.8
0.05,90,3.5,0.2,1.8
0.05,90,4,0.2,1.8
0.05,105,1,0.2,1.2
0.05,105,1.5,0.2,1.4
0.05,105,2,0.2,1.6
0.05,105,2.5,0.2,1.6
0.05,105,3,0.2,1.6
0.05,105,3.5,0.2,1.6
0.05,105,4,0.2,1.6
0.05,120,1,0.2,1.2
0.05,120,1.5,0.2,1.4
0.05,120,2,0.2,1.6
0.05,120,2.5,0.2,1.6
0.05,120,3,0.2,1.6
0.05,120,3.5,0.2,1.6
0.05,120,4,0.2,1.6
0.05,135,1,0.2,1
0.05,135,1.5,0.2,1.2
0.05,135,2,0.2,1.4
0.05,135,2.5,0.2,1.4
0.05,135,3,0.2,1.4
0.05,135,3.5,0.2,1.4
0.05,135,4,0.2,1.4
0.05,150,1,0.2,1
0.05,150,1.5,0.2,1.2
0.05,150,2,0.2,1.4
0.05,150,2.5,0.2,1.4
0.05,150,3,0.2,1.4
0.05,150,3.5,0.2,1.4
0.05,150,4,0.2,1.4
0.05,165,1,0.2,1
0.05,165,1.5,0.2,1.2
0.05,165,2,0.2,1.2
0.05,165,2.5,0.2,1.4
0.05,165,3,0.2,1.4
0.05,165,3.5,0.2,1.4
0.05,165,4,0.2,1.4
0.5,0,1,0.2,2
0.5,0,1.5,0.2,2
0.5,0,2,0.2,2
0.5,0,2.5,0.2,2
0.5,0,3,0.2,2
0.5,0,3.5,0.2,2
0.5,0,4,0.2,2
0.5,15,1,0.2,2
0.5,15,1.5,0.2,2
0.5,15,2,0.2,2
0.5,15,2.5,0.2,2
0.5,15,3,0.2,2
0.5,15,3.5,0.2,2
0.5,15,4,0.2,2
0.5,30,1,0.2,2
0.5,30,1.5,0.2,2
0.5,30,2,0.2,2
0.5,30,2.5,0.2,2
0.5,30,3,0.2,2
0.5,30,3.5,0.2,2
0.5,30,4,0.2,2
0.5,45,1,0.2,2
0.5,45,1.5,0.2,2
0.5,45,2,0.2,2
0.5,45,2.5,0.2,2
0.5,45,3,0.2,2
0.5,45,3.5,0.2,2
0.5,45,4,0.2,2
0.5,60,1,0.2,2
0.5,60,1.5,0.2,2
0.5,60,2,0.2,2
0.5,60,2.5,0.2,2
0.5,60,3,0.2,2
0.5,60,3.5,0.2,2
0.5,60,4,0.2,2
0.5,75,1,0.2,2
0.5,75,1.5,0.2,2
0.5,75,2,0.2,2
0.5,75,2.5,0.2,2
0.5,75,3,0.2,2
0.5,75,3.5,0.2,2
0.5,75,4,0.2,2
0.5,90,1,0.2,2
0.5,90,1.5,0.2,2
0.5,90,2,0.2,2
0.5,90,2.5,0.2,2
0.5,90,3,0.2,2
0.5,90,3.5,0.2,2
0.5,90,4,0.2,2
0.5,105,1,0.2,2
0.5,105,1.5,0.2,2
0.5,105,2,0.2,2
0.5,105,2.5,0.2,2
0.5,105,3,0.2,2
0.5,105,3.5,0.2,2
0.5,105,4,0.2,2
0.5,120,1,0.2,2
0.5,120,1.5,0.2,2
0.5,120,2,0.2,2
0.5,120,2.5,0.2,2
0.5,120,3,0.2,2
0.5,120,3.5,0.2,2
0.5,120,4,0.2,2
0.5,135,1,0.2,2
0.5,135,1.5,0.2,2
0.5,135,2,0.2,2
0.5,135,2.5,0.2,2
0.5,135,3,0.2,2
0.5,135,3.5,0.2,2
0.5,135,4,0.2,2
0.5,150,1,0.2,2
0.5,150,1.5,0.2,2
0.5,150,2,0.2,2
0.5,150,2.5,0.2,2
0.5,150,3,0.2,2
0.5,150,3.5,0.2,2
0.5,150,4,0.2,2
0.5,165,1,0.2,2
0.5,165,1.5,0.2,2
0.5,165,2,0.2,2
0.5,165,2.5,0.2,2
0.5,165,3,0.2,2
0.5,165,3.5,0.2,2
0.5,165,4,0.2,2
1,0,1,0.2,2
1,0,1.5,0.2,2
1,0,2,0.2,2
1,0,2.5,0.2,2
1,0,3,0.2,2
1,0,3.5,0.2,2
1,0,4,0.2,2
1,15,1,0.2,2
1,15,1.5,0.2,2
1,15,2,0.2,2
1,15,2.5,0.2,2
1,15,3,0.2,2
1,15,3.5,0.2,2
1,15,4,0.2,2
1,30,1,0.2,2
1,30,1.5,0.2,2
1,30,2,0.2,2
1,30,2.5,0.2,2
1,30,3,0.2,2
1,30,3.5,0.2,2
1,30,4,0.2,2
1,45,1,0.2,2
1,45,1.5,0.2,2
1,45,2,0.2,2
1,45,2.5,0.2,2
1,45,3,0.2,2
1,45,3.5,0.2,2
1,45,4,0.2,2
1,60,1,0.2,2
1,60,1.5,0.2,2
1,60,2,0.2,2
1,60,2.5,0.2,2
1,60,3,0.2,2
1,60,3.5,0.2,2
1,60,4,0.2,2
1,75,1,0.2,2
1,75,1.5,0.2,2
1,75,2,0.2,2
1,75,2.5,0.2,2
1,75,3,0.2,2
1,75,3.5,0.2,2
1,75,4,0.2,2
1,90,1,0.2,2
1,90,1.5,0.2,2
1,90,2,0.2,2
1,90,2.5,0.2,2
1,90,3,0.2,2
1,90,3.5,0.2,2
1,90,4,0.2,2
1,105,1,0.2,2
1,105,1.5,0.2,2
1,105,2,0.2,2
1,105,2.5,0.2,2
1,105,3,0.2,2
1,105,3.5,0.2,2
1,105,4,0.2,2
1,120,1,0.2,2
1,120,1.5,0.2,2
1,120,2,0.2,2
1,120,2.5,0.2,2
1,120,3,0.2,2
1,120,3.5,0.2,2
1,120,4,0.2,2
1,135,1,0.2,2
1,135,1.5,0.2,2
1,135,2,0.2,2
1,135,2.5,0.2,2
1,135,3,0.2,2
1,135,3.5,0.2,2
1,135,4,0.2,2
1,150,1,0.2,2
1,150,1.5,0.2,2
1,150,2,0.2,2
1,150,2.5,0.2,2
1,150,3,0.2,2
1,150,3.5,0.2,2
1,150,4,0.2,2
1,165,1,0.2,2
1,165,1.5,0.2,2
1,165,2,0.2,2
1,165,2.5,0.2,2
1,165,3,0.2,2
1,165,3.5,0.2,2
1,165,4,0.2,2
