"(0.0, 0.0)","(30.0, 0.0)"
"(0.0, 0.0)","(29.488887394336025, 3.882285676537811)"
"(0.0, 0.0)","(27.99038105676658, 7.499999999999999)"
"(0.0, 0.0)","(25.606601717798213, 10.606601717798211)"
"(0.0, 0.0)","(22.5, 12.990381056766578)"
"(0.0, 0.0)","(18.882285676537812, 14.488887394336025)"
"(0.0, 0.0)","(15.000000000000002, 15.0)"
"(0.0, 0.0)","(11.117714323462188, 14.488887394336025)"
"(0.0, 0.0)","(7.5000000000000036, 12.99038105676658)"
"(0.0, 0.0)","(4.3933982822017885, 10.606601717798213)"
"(0.0, 0.0)","(2.00961894323342, 7.499999999999999)"
"(0.0, 0.0)","(0.5111126056639765, 3.882285676537815)"
